gameId,timestamp,duration_ticks,peak_multiplier,final_price,is_instarug,total_trades,unique_players,buy_orders,sell_orders,buy_sell_ratio,players_actually_trading,avg_trades_per_player,avg_volume_per_player,top_player_volume_ratio,profitable_players,profitable_player_ratio,total_profits,total_losses,profit_loss_ratio,early_entry_players,late_entry_players,early_entry_ratio,avg_player_level,high_level_players,high_level_ratio,scalpers,whales,hodlers,flippers,early_birds,late_joiners,regular_traders,duration_risk,concentration_risk,activity_risk,composite_risk_score
20250705-b6c9c8f5b4fb4e6d,2025-07-05T23:08:59.787Z,157,3.956,1.936487,False,46,13,28,18,1.556,13,3.54,0.279,0.314,3,0.231,1.41,1.114,1.265,5,8,0.385,29.1,5,0.385,0,0,8,0,4,1,0,0.686,0.314,0.46,0.507
20250705-412cfad064554316,2025-07-05T23:09:55.843Z,17,1.027,0.890123,False,13,9,11,2,5.5,9,1.44,0.172,0.411,1,0.111,0.001,0.932,0.001,0,8,0.0,30.8,4,0.444,0,0,7,0,0,1,1,0.966,0.411,0.13,0.549
20250705-ea46253c16334e31,2025-07-05T23:10:16.614Z,337,9.002,2.364708,False,93,18,45,48,0.938,18,5.17,0.516,0.525,9,0.5,2.295,0.828,2.773,14,1,0.778,24.5,4,0.222,0,0,6,0,8,1,3,0.326,0.525,0.93,0.567
20250705-43668fb0f81943eb,2025-07-05T23:11:57.416Z,202,1.901,0.986981,False,60,17,31,29,1.069,17,3.53,0.471,0.405,9,0.529,0.893,0.903,0.989,4,11,0.235,22.6,4,0.235,0,0,7,1,3,4,2,0.596,0.405,0.6,0.54
20250705-6ef4f172748c4b9f,2025-07-05T23:13:04.750Z,62,1.029,0.551486,False,24,12,18,6,3.0,12,2,0.277,0.43,1,0.083,0.42,0.906,0.464,2,9,0.167,28,5,0.417,0,0,9,0,1,1,1,0.876,0.43,0.24,0.551
20250705-37fb3f5ad9a24d6c,2025-07-05T23:13:36.713Z,221,3.299,2.717288,False,63,17,29,34,0.853,17,3.71,0.292,0.206,7,0.412,1.459,0.583,2.501,13,1,0.765,27.5,7,0.412,0,0,5,2,7,1,2,0.558,0.206,0.63,0.474
20250705-9fb65c0eecc64873,2025-07-05T23:14:48.479Z,36,2.224,1.737837,False,19,10,12,7,1.714,10,1.9,0.147,0.258,3,0.3,0.592,0.551,1.074,1,8,0.1,25.6,4,0.4,0,0,6,0,0,3,1,0.928,0.258,0.19,0.506
20250705-26e42a44f0a347bb,2025-07-05T23:15:13.690Z,518,43.484,23.983847,False,137,25,65,72,0.903,25,5.48,0.205,0.226,16,0.64,4.513,1.05,4.299,16,3,0.64,24.4,7,0.28,2,0,5,2,12,0,4,0,0.226,1,0.368
20250705-c0bd4ff3e2d3450f,2025-07-05T23:17:40.238Z,345,8.044,3.122985,False,95,23,42,53,0.792,23,4.13,0.253,0.184,15,0.652,2.406,0.349,6.889,9,11,0.391,24.9,6,0.261,0,1,6,2,7,5,2,0.31,0.184,0.95,0.464
20250705-914ea4e3c1784625,2025-07-05T23:19:23.614Z,345,8.044,1.025374,False,13,9,9,4,2.25,9,1.44,0.091,0.367,3,0.333,0.097,0.51,0.191,1,8,0.111,32,5,0.556,0,0,6,0,1,2,0,0.31,0.367,0.13,0.273
20250705-914ea4e3c1784625,2025-07-05T23:20:13.547Z,178,2.943,1.833556,False,10,6,4,6,0.667,6,1.67,0.211,0.735,5,0.833,0.271,0.1,2.71,0,6,0.0,24.5,1,0.167,0,0,1,0,0,5,0,0.644,0.735,0.1,0.508
20250705-260f5461f587406d,2025-07-05T23:20:24.812Z,76,1.856,1.806324,False,26,14,17,9,1.889,14,1.86,0.118,0.318,4,0.286,0.149,0.496,0.3,2,10,0.143,28.6,5,0.357,0,0,8,0,2,3,1,0.848,0.318,0.26,0.513
